iter	Passed	Remaining
143	375	2229
144	376	2218
145	378	2213
146	379	2203
147	381	2196
148	383	2187
149	384	2177
150	385	2168
151	387	2161
152	389	2156
153	390	2147
154	392	2137
155	393	2129
156	394	2120
157	396	2112
158	397	2104
159	400	2101
160	401	2090
161	402	2082
162	500	2571
163	506	2582
164	508	2574
165	511	2570
166	513	2560
167	514	2549
168	515	2534
169	516	2520
170	517	2509
171	518	2498
172	519	2484
173	521	2473
174	522	2461
175	523	2451
176	524	2440
177	525	2428
178	527	2417
179	528	2408
180	532	2407
181	536	2410
182	537	2400
183	539	2392
184	542	2388
185	543	2379
186	546	2376
187	549	2371
188	551	2365
189	552	2354
190	553	2345
191	554	2335
192	555	2324
193	557	2314
194	558	2305
195	559	2296
196	561	2287
197	561	2275
198	563	2267
199	564	2258
200	566	2253
201	568	2246
202	569	2237
203	571	2229
204	572	2220
205	574	2214
206	576	2207
207	577	2197
208	578	2190
209	580	2183
210	582	2177
211	583	2169
212	585	2162
213	587	2157
214	588	2150
215	590	2142
216	592	2136
217	593	2127
218	594	2119
219	595	2112
220	597	2104
221	598	2097
222	599	2089
223	601	2082
224	602	2074
225	603	2066
226	605	2060
227	607	2056
228	608	2049
229	610	2043
230	611	2037
231	615	2036
232	616	2030
233	618	2023
234	619	2016
235	620	2009
236	622	2002
237	622	1994
238	624	1987
239	626	1982
240	627	1977
241	629	1971
242	631	1966
243	632	1958
244	633	1951
245	634	1944
246	635	1937
247	637	1932
248	638	1927
249	640	1921
250	641	1914
251	643	1908
252	644	1902
253	646	1898
254	649	1896
255	650	1891
256	652	1886
257	653	1880
258	655	1874
259	656	1869
260	657	1862
261	661	1864
262	669	1876
263	674	1880
264	677	1878
265	679	1874
266	682	1874
267	683	1867
268	685	1862
269	688	1862
270	691	1859
271	693	1854
272	694	1850
273	696	1844
274	698	1840
275	699	1836
276	702	1834
277	704	1829
278	705	1824
279	708	1821
280	709	1816
281	712	1813
282	715	1813
283	717	1809
284	718	1803
285	720	1798
286	721	1793
287	722	1787
288	724	1781
289	725	1776
290	726	1770
291	728	1765
292	729	1759
293	730	1754
294	732	1749
295	733	1744
296	734	1739
297	736	1735
298	738	1731
299	740	1727
300	742	1724
301	743	1718
302	744	1713
303	746	1708
304	747	1703
305	749	1699
306	751	1697
307	753	1693
308	755	1689
309	757	1685
310	758	1680
311	759	1674
312	760	1669
313	762	1666
314	764	1662
315	765	1656
316	766	1651
317	767	1646
318	769	1642
319	770	1637
320	772	1633
321	773	1629
322	774	1624
323	776	1619
324	777	1615
325	779	1611
326	780	1607
327	782	1603
328	783	1598
329	785	1594
330	788	1593
331	789	1588
332	790	1582
333	791	1578
334	792	1573
335	794	1569
336	794	1564
337	796	1559
338	797	1554
339	798	1550
340	800	1547
341	802	1543
342	803	1540
343	805	1536
344	807	1533
345	809	1529
346	811	1527
347	812	1522
348	814	1518
349	815	1514
350	817	1511
351	818	1507
352	820	1503
353	821	1499
354	823	1495
355	917	1660
356	928	1671
357	929	1667
358	931	1663
359	932	1657
360	934	1653
361	935	1649
362	937	1644
363	938	1639
364	939	1634
365	941	1630
366	942	1624
367	943	1619
368	944	1615
369	945	1610
370	946	1604
371	947	1599
372	948	1594
373	949	1590
374	952	1586
375	952	1581
376	953	1576
377	958	1577
378	959	1572
379	961	1568
380	963	1565
381	965	1561
382	968	1559
383	969	1554
384	970	1550
385	973	1547
386	974	1544
387	976	1539
388	977	1535
389	978	1530
390	980	1526
391	981	1522
392	983	1519
393	985	1515
394	988	1513
395	989	1509
396	991	1505
397	992	1501
398	993	1496
399	994	1491
400	995	1487
401	997	1483
402	999	1481
403	1001	1477
404	1003	1474
405	1005	1470
406	1006	1466
407	1008	1463
408	1009	1459
409	1011	1455
410	1012	1451
411	1015	1448
412	1016	1445
413	1018	1441
414	1019	1436
415	1019	1431
416	1020	1427
417	1022	1423
418	1024	1420
419	1025	1416
420	1027	1412
421	1028	1408
422	1029	1404
423	1031	1400
424	1032	1396
425	1035	1394
426	1036	1390
427	1037	1386
428	1038	1382
429	1039	1378
430	1040	1373
431	1041	1369
432	1043	1365
433	1044	1361
434	1045	1357
435	1046	1353
436	1047	1349
437	1049	1346
438	1050	1342
439	1052	1338
440	1053	1335
441	1054	1331
442	1055	1327
443	1056	1323
444	1057	1318
445	1057	1314
446	1058	1309
447	1058	1304
448	1059	1299
449	1059	1295
450	1060	1290
451	1060	1286
452	1061	1281
453	1061	1277
454	1062	1272
455	1062	1268
456	1063	1263
457	1063	1259
458	1064	1254
459	1064	1250
460	1065	1245
461	1065	1241
462	1066	1236
463	1066	1232
464	1067	1228
465	1067	1223
466	1068	1219
467	1068	1214
468	1069	1210
469	1069	1206
470	1070	1202
471	1071	1198
472	1071	1193
473	1072	1189
474	1072	1185
475	1073	1181
476	1073	1177
477	1074	1173
478	1074	1168
479	1075	1164
480	1075	1160
481	1076	1156
482	1076	1152
483	1077	1148
484	1077	1144
485	1078	1140
486	1078	1136
487	1079	1132
488	1079	1128
489	1080	1124
490	1080	1120
491	1081	1116
492	1082	1112
493	1082	1108
494	1083	1105
495	1083	1101
496	1084	1097
497	1085	1093
498	1085	1090
499	1086	1086
500	1086	1082
501	1087	1078
502	1087	1074
503	1088	1071
504	1088	1067
505	1089	1063
506	1089	1059
507	1090	1055
508	1090	1052
509	1091	1048
510	1091	1044
511	1092	1041
512	1092	1037
513	1093	1033
514	1093	1030
515	1094	1026
516	1094	1022
517	1095	1019
518	1095	1015
519	1096	1012
520	1096	1008
521	1097	1004
522	1097	1001
523	1098	997
524	1098	994
525	1099	990
526	1099	987
527	1100	983
528	1101	980
529	1101	976
530	1102	973
531	1102	969
532	1103	966
533	1103	963
534	1104	959
535	1104	956
536	1105	952
537	1105	949
538	1106	946
539	1106	942
540	1107	939
541	1108	936
542	1108	933
543	1109	929
544	1109	926
545	1110	923
546	1111	920
547	1111	917
548	1112	913
549	1112	910
550	1113	907
551	1113	904
552	1114	900
553	1114	897
554	1115	894
555	1115	891
556	1116	887
557	1117	884
558	1117	881
559	1118	878
560	1118	875
561	1119	872
562	1119	869
563	1120	866
564	1120	863
565	1121	859
566	1121	856
567	1122	853
568	1122	850
569	1123	847
570	1124	844
571	1124	841
572	1125	838
573	1125	835
574	1126	832
575	1126	829
576	1127	826
577	1128	823
578	1128	820
579	1129	817
580	1129	814
581	1130	811
582	1130	808
583	1131	805
584	1131	802
585	1132	800
586	1133	797
587	1133	794
588	1133	791
589	1134	788
590	1134	785
591	1135	782
592	1136	779
593	1136	776
594	1136	773
595	1137	771
596	1138	768
597	1138	765
598	1139	762
599	1139	759
600	1140	757
601	1140	754
602	1141	751
603	1142	749
604	1143	746
605	1143	743
606	1144	740
607	1144	738
608	1145	735
609	1145	732
610	1146	729
611	1147	727
612	1147	724
613	1148	721
614	1148	719
615	1149	716
616	1149	713
617	1150	711
618	1150	708
619	1151	705
620	1151	703
621	1152	700
622	1153	697
623	1153	695
624	1153	692
625	1154	689
626	1155	687
627	1155	684
628	1156	681
629	1156	679
630	1157	676
631	1157	674
632	1158	671
633	1158	669
634	1159	666
635	1160	663
636	1160	661
637	1161	658
638	1161	656
639	1161	653
640	1163	651
641	1164	649
642	1164	646
643	1165	644
644	1166	641
645	1166	639
646	1167	636
647	1167	634
648	1168	631
649	1168	629
650	1169	626
651	1170	624
652	1170	622
653	1171	619
654	1171	617
655	1172	614
656	1172	612
657	1173	609
658	1174	607
659	1174	605
660	1175	602
661	1175	600
662	1176	597
663	1176	595
664	1177	593
665	1177	590
666	1178	588
667	1178	585
668	1179	583
669	1179	581
670	1180	578
671	1180	576
672	1181	574
673	1182	571
674	1182	569
675	1183	567
676	1183	564
677	1184	562
678	1185	560
679	1185	557
680	1186	555
681	1186	553
682	1187	550
683	1187	548
684	1188	546
685	1188	544
686	1189	541
687	1189	539
688	1190	537
689	1191	535
690	1191	532
691	1192	530
692	1192	528
693	1193	526
694	1194	524
695	1194	521
696	1195	519
697	1195	517
698	1196	515
699	1196	512
700	1197	510
701	1197	508
702	1198	506
703	1198	504
704	1199	501
705	1200	499
706	1200	497
707	1201	495
708	1201	493
709	1202	491
710	1203	488
711	1203	486
712	1204	484
713	1205	482
714	1205	480
715	1206	478
716	1206	476
717	1207	474
718	1208	472
719	1208	470
720	1209	467
721	1209	465
722	1210	463
723	1211	461
724	1211	459
725	1212	457
726	1212	455
727	1213	453
728	1213	451
729	1214	449
730	1215	447
731	1215	445
732	1216	442
733	1216	440
734	1217	438
735	1217	436
736	1218	434
737	1218	432
738	1219	430
739	1220	428
740	1220	426
741	1221	424
742	1222	422
743	1222	420
744	1223	418
745	1223	416
746	1224	414
747	1224	412
748	1225	410
749	1226	408
750	1226	406
751	1227	404
752	1227	402
753	1228	400
754	1229	398
755	1229	396
756	1230	394
757	1231	393
758	1231	391
759	1232	389
760	1232	387
761	1233	385
762	1234	383
763	1234	381
764	1235	379
765	1235	377
766	1236	375
767	1236	373
768	1237	371
769	1237	369
770	1238	367
771	1238	365
772	1239	364
773	1240	362
774	1240	360
775	1241	358
776	1242	356
777	1242	354
778	1243	352
779	1244	350
780	1244	349
781	1245	347
782	1246	345
783	1246	343
784	1247	341
785	1248	339
786	1249	338
787	1249	336
788	1250	334
789	1251	332
790	1251	330
791	1252	328
792	1253	327
793	1253	325
794	1254	323
795	1255	321
796	1256	319
797	1256	318
798	1257	316
799	1258	314
800	1258	312
801	1259	310
802	1260	309
803	1260	307
804	1261	305
805	1262	303
806	1262	302
807	1263	300
808	1264	298
809	1264	296
810	1265	294
811	1266	293
812	1266	291
813	1267	289
814	1268	287
815	1268	286
816	1269	284
817	1270	282
818	1270	280
819	1271	279
820	1272	277
821	1272	275
822	1273	273
823	1274	272
824	1275	270
825	1275	268
826	1276	267
827	1277	265
828	1277	263
829	1278	261
830	1279	260
831	1279	258
832	1280	256
833	1281	255
834	1282	253
835	1282	251
836	1283	249
837	1284	248
838	1285	246
839	1285	244
840	1286	243
841	1287	241
842	1287	239
843	1288	238
844	1289	236
845	1290	234
846	1290	233
847	1291	231
848	1292	229
849	1293	228
850	1293	226
851	1294	224
852	1295	223
853	1295	221
854	1296	219
855	1297	218
856	1298	216
857	1299	215
858	1299	213
859	1300	211
860	1301	210
861	1302	208
862	1302	206
863	1303	205
864	1304	203
865	1305	202
866	1306	200
867	1307	198
868	1307	197
869	1308	195
870	1309	193
871	1309	192
872	1310	190
873	1311	189
874	1311	187
875	1312	185
876	1313	184
877	1314	182
878	1314	181
879	1315	179
880	1316	177
881	1317	176
882	1318	174
883	1318	173
884	1319	171
885	1319	169
886	1320	168
887	1321	166
888	1322	165
889	1322	163
890	1323	161
891	1324	160
892	1325	158
893	1325	157
894	1326	155
895	1327	154
896	1327	152
897	1328	150
898	1329	149
899	1329	147
900	1330	146
901	1331	144
902	1332	143
903	1332	141
904	1333	139
905	1334	138
906	1334	136
907	1335	135
908	1336	133
909	1337	132
910	1338	130
911	1338	129
912	1339	127
913	1340	126
914	1341	124
915	1341	123
916	1342	121
917	1343	119
918	1343	118
919	1344	116
920	1345	115
921	1346	113
922	1346	112
923	1347	110
924	1348	109
925	1349	107
926	1350	106
927	1350	104
928	1351	103
929	1352	101
930	1353	100
931	1354	98
932	1354	97
933	1355	95
934	1356	94
935	1356	92
936	1357	91
937	1358	89
938	1358	88
939	1359	86
940	1360	85
941	1361	83
942	1361	82
943	1362	80
944	1363	79
945	1364	77
946	1364	76
947	1366	74
948	1366	73
949	1367	71
950	1368	70
951	1369	69
952	1370	67
953	1370	66
954	1371	64
955	1372	63
956	1372	61
957	1373	60
958	1374	58
959	1374	57
960	1375	55
961	1376	54
962	1376	52
963	1377	51
964	1378	49
965	1378	48
966	1379	47
967	1380	45
968	1381	44
969	1381	42
970	1382	41
971	1383	39
972	1383	38
973	1384	36
974	1385	35
975	1386	34
976	1386	32
977	1387	31
978	1388	29
979	1389	28
980	1389	26
981	1390	25
982	1391	24
983	1392	22
984	1392	21
985	1393	19
986	1394	18
987	1395	16
988	1395	15
989	1396	14
990	1397	12
991	1397	11
992	1398	9
993	1399	8
994	1400	7
995	1400	5
996	1401	4
997	1402	2
998	1402	1
999	1403	0
